# time w x y z
1609761768738656022 0.996163 -0.0633639 -0.0603013 1.84405e-05
1609761768743656022 0.99612 -0.0636998 -0.0606594 1.616e-05
1609761768748656022 0.996076 -0.0640356 -0.0610175 1.38822e-05
1609761768753656022 0.996033 -0.0643592 -0.0613866 1.00598e-05
1609761768758656022 0.995989 -0.0646827 -0.0617554 6.22879e-06
1609761768763656022 0.995945 -0.0650094 -0.0621214 2.74312e-06
1609761768768656022 0.995901 -0.0653359 -0.0624872 -7.86226e-07
1609761768773656022 0.995856 -0.0656787 -0.0628374 -2.23602e-06
1609761768778656022 0.995811 -0.0660215 -0.0631876 -3.64021e-06
1609761768783656022 0.995766 -0.0663899 -0.0635106 -1.51227e-06
1609761768788656022 0.995721 -0.0667581 -0.0638335 6.63911e-07
1609761768793656022 0.995675 -0.0671168 -0.064167 1.37873e-06
1609761768798656022 0.99563 -0.0674754 -0.0645004 2.04976e-06
1609761768803656022 0.995584 -0.0678384 -0.0648291 3.46648e-06
1609761768808656022 0.995537 -0.0682014 -0.0651577 4.92887e-06
1609761768813656022 0.995491 -0.0685764 -0.0654725 7.96164e-06
1609761768818656022 0.995444 -0.0689512 -0.0657873 1.11405e-05
1609761768823656022 0.995398 -0.0692205 -0.0661962 7.33782e-07
1609761768828656022 0.995352 -0.0694896 -0.066605 -9.71287e-06
1609761768833656022 0.995306 -0.0699002 -0.0668711 -6.6141e-07
1609761768838656022 0.995259 -0.0703108 -0.0671369 8.3702e-06
1609761768843656022 0.995211 -0.0706414 -0.0674968 5.3282e-06
1609761768848656022 0.995163 -0.070972 -0.0678566 2.23625e-06
1609761768853656022 0.995115 -0.0713454 -0.0681716 5.2694e-06
1609761768858656022 0.995067 -0.0717187 -0.0684865 8.39986e-06
1609761768863656022 0.995018 -0.0720291 -0.0688637 2.7246e-06
1609761768868656022 0.994969 -0.0723393 -0.0692408 -2.94637e-06
1609761768873656022 0.994924 -0.072801 -0.0694039 1.7492e-05
1609761768878656022 0.994879 -0.0732626 -0.069567 3.78799e-05
1609761768883656022 0.994832 -0.0737087 -0.0697672 5.4547e-05
1609761768888656022 0.994785 -0.0741546 -0.0699674 7.10182e-05
1609761768893656022 0.994819 -0.073663 -0.0699989 3.40824e-05
1609761768898656022 0.994853 -0.0731712 -0.0700304 -2.80606e-06
1609761768903656022 0.994812 -0.0736546 -0.0701144 2.50358e-05
1609761768908656022 0.99477 -0.074138 -0.0701984 5.30096e-05
1609761768913656022 0.994812 -0.0736547 -0.0701157 2.5222e-05
1609761768918656022 0.994853 -0.0731714 -0.0700331 -2.659e-06
1609761768923656022 0.994874 -0.073332 -0.0695641 4.31496e-05
1609761768928656022 0.994895 -0.0734925 -0.0690951 8.90081e-05
1609761768933656022 0.994863 -0.073461 -0.0695877 5.05514e-05
1609761768938656022 0.994831 -0.0734284 -0.0700801 1.20504e-05
1609761768943656022 0.994782 -0.0738338 -0.0703518 2.0513e-05
1609761768948656022 0.994732 -0.0742389 -0.0706236 2.90609e-05
1609761768953656022 0.99476 -0.0737587 -0.0707408 -1.36905e-05
1609761768958656022 0.994732 -0.0742392 -0.0706233 2.93207e-05
1609761768963656022 0.994763 -0.074293 -0.0701328 6.99838e-05
1609761768968656022 0.994732 -0.0742372 -0.0706234 2.94771e-05
1609761768973656022 0.994773 -0.0737514 -0.0705551 1.65245e-07
1609761768978656022 0.994732 -0.0742376 -0.0706235 2.96384e-05
1609761768983656022 0.994781 -0.0739659 -0.0702184 4.06263e-05
1609761768988656022 0.99483 -0.0736943 -0.0698134 5.16558e-05
1609761768993656022 0.994863 -0.0732037 -0.069861 1.37588e-05
1609761768998656022 0.994895 -0.072713 -0.0699085 -2.40884e-05
1609761769003656022 0.994846 -0.073043 -0.0702679 -2.70461e-05
1609761769008656022 0.994895 -0.072713 -0.0699092 -2.38507e-05
1609761769013656022 0.994862 -0.0732044 -0.0698659 1.40225e-05
1609761769018656022 0.994829 -0.0736956 -0.0698224 5.1841e-05
1609761769023656022 0.99478 -0.0741073 -0.0700845 6.14417e-05
1609761769028656022 0.994731 -0.0745188 -0.0703465 7.09865e-05
1609761769033656022 0.99478 -0.0740953 -0.0701045 5.92367e-05
1609761769038656022 0.994828 -0.0736716 -0.0698625 4.74789e-05
1609761769043656022 0.994878 -0.0732975 -0.06955 4.4489e-05
1609761769048656022 0.994927 -0.0729233 -0.0692375 4.14335e-05
1609761769053656022 0.99491 -0.072727 -0.0696931 -5.61965e-06
1609761769058656022 0.994892 -0.0725301 -0.0701486 -5.26998e-05
1609761769063656022 0.994844 -0.0729623 -0.0703768 -3.88016e-05
1609761769068656022 0.994796 -0.0733943 -0.0706051 -2.49095e-05
1609761769073656022 0.994802 -0.0736989 -0.0702119 2.57438e-05
1609761769078656022 0.994807 -0.0740034 -0.0698186 7.63996e-05
1609761769083656022 0.994765 -0.0744863 -0.069905 0.000103944
1609761769088656022 0.994807 -0.0740038 -0.0698187 7.67178e-05
1609761769093656022 0.994856 -0.0736067 -0.069536 7.00551e-05
1609761769098656022 0.994807 -0.0740042 -0.0698192 7.70062e-05
1609761769103656022 0.994834 -0.0735243 -0.0699378 3.4576e-05
1609761769108656022 0.994861 -0.0730444 -0.0700563 -7.84737e-06
1609761769113656022 0.994855 -0.0727425 -0.0704514 -5.80372e-05
1609761769118656022 0.994849 -0.0724396 -0.0708459 -0.000108235
1609761769123656022 0.994841 -0.0728371 -0.0705471 -5.80832e-05
1609761769128656022 0.994833 -0.0732346 -0.0702483 -8.03695e-06
1609761769133656022 0.994842 -0.0735102 -0.0698345 4.19113e-05
1609761769138656022 0.994851 -0.0737856 -0.0694205 9.18127e-05
1609761769143656022 0.994801 -0.0741793 -0.069709 9.80156e-05
1609761769148656022 0.994752 -0.0745729 -0.0699972 0.000104165
1609761769153656022 0.994781 -0.0740888 -0.0700953 6.29145e-05
1609761769158656022 0.99481 -0.0736048 -0.0701936 2.16555e-05
1609761769163656022 0.99482 -0.0738711 -0.0697738 7.15749e-05
1609761769168656022 0.99481 -0.0736048 -0.0701935 2.19215e-05
1609761769173656022 0.994857 -0.0731636 -0.0699839 6.43468e-06
1609761769178656022 0.994904 -0.0727224 -0.0697742 -9.20284e-06
1609761769183656022 0.994949 -0.072546 -0.0693178 1.18623e-05
1609761769188656022 0.994994 -0.0723695 -0.0688614 3.28818e-05
1609761769193656022 0.994946 -0.0726274 -0.0692765 2.06404e-05
1609761769198656022 0.994898 -0.0728853 -0.0696914 8.37977e-06
1609761769203656022 0.994865 -0.0728679 -0.0701842 -2.87818e-05
1609761769208656022 0.994832 -0.0728435 -0.0706769 -6.65231e-05
1609761769213656022 0.994815 -0.0732875 -0.070455 -1.86853e-05
1609761769218656022 0.994798 -0.0737314 -0.0702328 2.92456e-05
1609761769223656022 0.994749 -0.0741581 -0.0704704 4.18223e-05
1609761769228656022 0.9947 -0.0745845 -0.070708 5.43497e-05
1609761769233656022 0.994739 -0.0740935 -0.0706877 2.10926e-05
1609761769238656022 0.994776 -0.0736023 -0.0706675 -1.22143e-05
1609761769243656022 0.994814 -0.073566 -0.070177 2.15243e-05
1609761769248656022 0.994851 -0.0735296 -0.0696864 5.52557e-05
1609761769253656022 0.994829 -0.0733768 -0.0701578 9.92169e-06
1609761769258656022 0.994807 -0.0732216 -0.0706285 -3.55615e-05
1609761769263656022 0.994787 -0.0736796 -0.0704379 1.10359e-05
1609761769268656022 0.994767 -0.0741357 -0.0702427 5.79218e-05
1609761769273656022 0.994717 -0.0744558 -0.0706106 5.3159e-05
1609761769278656022 0.994767 -0.0741351 -0.0702437 5.80269e-05
1609761769283656022 0.994776 -0.0744029 -0.069825 0.000108329
1609761769288656022 0.994767 -0.0741349 -0.0702437 5.82039e-05
1609761769293656022 0.994781 -0.0737046 -0.0704914 9.3881e-06
1609761769298656022 0.994796 -0.0732744 -0.0707392 -3.93806e-05
1609761769303656022 0.994826 -0.0733258 -0.0702484 4.69761e-07
1609761769308656022 0.994857 -0.0733773 -0.0697574 4.03557e-05
1609761769313656022 0.994904 -0.0729293 -0.0695626 2.34669e-05
1609761769318656022 0.994857 -0.0733775 -0.0697585 4.05801e-05
1609761769323656022 0.994907 -0.0730327 -0.069414 4.19059e-05
1609761769328656022 0.994956 -0.0726881 -0.0690694 4.3161e-05
1609761769333656022 0.994907 -0.073054 -0.0693925 4.50637e-05
1609761769338656022 0.994857 -0.0734196 -0.0697155 4.69155e-05
1609761769343656022 0.994808 -0.0736927 -0.0701203 3.6125e-05
1609761769348656022 0.99476 -0.0739656 -0.0705249 2.55282e-05
1609761769353656022 0.99471 -0.0743364 -0.0708414 2.83502e-05
1609761769358656022 0.994659 -0.0747024 -0.0711638 3.04313e-05
1609761769363656022 0.994709 -0.0743528 -0.0708245 3.10334e-05
1609761769368656022 0.99476 -0.0740031 -0.0704851 3.15768e-05
1609761769373656022 0.994809 -0.0736168 -0.0701878 2.63688e-05
1609761769378656022 0.994859 -0.0732303 -0.0698906 2.12179e-05
1609761769383656022 0.994904 -0.0730473 -0.0694369 4.17963e-05
1609761769388656022 0.994949 -0.0728644 -0.0689833 6.25056e-05
1609761769393656022 0.9949 -0.0732296 -0.0693071 6.4234e-05
1609761769398656022 0.99485 -0.0735947 -0.0696309 6.59111e-05
1609761769403656022 0.994822 -0.0735085 -0.0701178 2.39843e-05
1609761769408656022 0.994794 -0.073421 -0.0706044 -1.81004e-05
1609761769413656022 0.994786 -0.0738178 -0.0703047 3.22027e-05
1609761769418656022 0.994778 -0.0742145 -0.0700049 8.26023e-05
1609761769423656022 0.994798 -0.0737605 -0.070204 3.59187e-05
1609761769428656022 0.994817 -0.0733065 -0.0704029 -1.08099e-05
1609761769433656022 0.994866 -0.0728946 -0.0701417 -2.06425e-05
1609761769438656022 0.994914 -0.0724825 -0.0698805 -3.05325e-05
1609761769443656022 0.994893 -0.072944 -0.0696994 1.50413e-05
1609761769448656022 0.994872 -0.0734052 -0.0695171 6.07412e-05
1609761769453656022 0.994832 -0.0734966 -0.0699996 3.14972e-05
1609761769458656022 0.994791 -0.073587 -0.0704822 2.22165e-06
1609761769463656022 0.994792 -0.0739215 -0.070114 5.32391e-05
1609761769468656022 0.994791 -0.073587 -0.0704821 2.44033e-06
1609761769473656022 0.994811 -0.0737606 -0.0700176 4.92546e-05
1609761769478656022 0.994791 -0.0735861 -0.0704816 2.62268e-06
1609761769483656022 0.994801 -0.0738486 -0.0700596 5.24724e-05
1609761769488656022 0.994811 -0.0741108 -0.0696374 0.00010233
1609761769493656022 0.994805 -0.0738201 -0.0700407 5.20043e-05
1609761769498656022 0.994798 -0.0735292 -0.070444 1.73734e-06
1609761769503656022 0.994839 -0.0730451 -0.0703649 -2.65091e-05
1609761769508656022 0.99488 -0.072561 -0.0702857 -5.48509e-05
1609761769513656022 0.994865 -0.0729972 -0.0700483 -6.59035e-06
1609761769518656022 0.994849 -0.0734333 -0.0698106 4.16703e-05
1609761769523656022 0.994845 -0.073124 -0.0702 -8.69842e-06
1609761769528656022 0.99484 -0.0728145 -0.0705892 -5.91647e-05
1609761769533656022 0.994839 -0.0731652 -0.0702361 -8.43745e-06
1609761769538656022 0.994838 -0.0735155 -0.0698828 4.23917e-05
1609761769543656022 0.994881 -0.073039 -0.0697691 1.74235e-05
1609761769548656022 0.994838 -0.0735159 -0.069883 4.25474e-05
1609761769553656022 0.994852 -0.073088 -0.0701349 -6.0463e-06
1609761769558656022 0.994838 -0.0735159 -0.0698827 4.27442e-05
1609761769563656022 0.9948 -0.0735731 -0.0703708 1.07158e-05
1609761769568656022 0.994761 -0.0736303 -0.0708588 -2.1233e-05
1609761769573656022 0.994802 -0.073146 -0.0707816 -4.97919e-05
1609761769578656022 0.994761 -0.0736308 -0.0708585 -2.07526e-05
1609761769583656022 0.994792 -0.0736811 -0.0703676 1.91388e-05
1609761769588656022 0.994823 -0.0737312 -0.0698766 5.90664e-05
1609761769593656022 0.994793 -0.0742175 -0.0697895 9.97617e-05
1609761769598656022 0.994762 -0.0747037 -0.0697021 0.000140455
1609761769603656022 0.994762 -0.0743656 -0.0700669 8.95976e-05
1609761769608656022 0.994762 -0.0740275 -0.0704315 3.869e-05
1609761769613656022 0.994811 -0.0736165 -0.070169 2.92853e-05
1609761769618656022 0.994859 -0.0732051 -0.0699067 1.98158e-05
1609761769623656022 0.99488 -0.0733745 -0.0694409 6.60152e-05
1609761769628656022 0.9949 -0.0735429 -0.0689744 0.000112188
1609761769633656022 0.994905 -0.0731655 -0.0692981 6.22107e-05
1609761769638656022 0.99491 -0.072788 -0.0696218 1.21939e-05
1609761769643656022 0.994936 -0.0728911 -0.0691379 5.49161e-05
1609761769648656022 0.99491 -0.0727881 -0.0696218 1.23741e-05
1609761769653656022 0.994861 -0.0731668 -0.0699297 1.65226e-05
1609761769658656022 0.994811 -0.0735454 -0.0702374 2.06097e-05
1609761769663656022 0.9948 -0.0732858 -0.0706612 -2.896e-05
1609761769668656022 0.994789 -0.0730252 -0.0710843 -7.85623e-05
1609761769673656022 0.994799 -0.0732928 -0.0706655 -2.85653e-05
1609761769678656022 0.994809 -0.0735605 -0.0702466 2.1476e-05
1609761769683656022 0.994774 -0.0740529 -0.0702315 5.73783e-05
1609761769688656022 0.994738 -0.0745451 -0.0702163 9.33349e-05
1609761769693656022 0.994779 -0.0740587 -0.0701527 6.37941e-05
1609761769698656022 0.99482 -0.0735722 -0.0700891 3.41475e-05
1609761769703656022 0.994824 -0.0738847 -0.0697021 8.47665e-05
1609761769708656022 0.994828 -0.0741968 -0.0693147 0.000135384
1609761769713656022 0.99486 -0.073707 -0.0693715 9.70565e-05
