# time x y z
1609761768903656022 -0.0010653 -0.0010653 0
1609761768908656022 -0.0031959 -0.0010653 0.0031959
1609761768913656022 -0.0053265 0.0010653 0.0042612
1609761768918656022 -0.0053265 -0.0010653 0.0021306
1609761768923656022 -0.0074571 -0.0010653 0.0010653
1609761768928656022 -0.0074571 -0.0031959 0.0021306
1609761768933656022 -0.0085224 -0.0063918 0.0031959
1609761768938656022 -0.0042612 -0.0042612 0.0031959
1609761768943656022 -0.0063918 0 0
1609761768948656022 -0.0031959 0 0.0021306
1609761768953656022 -0.0031959 -0.0021306 0.0021306
1609761768958656022 -0.0053265 -0.0042612 0.0031959
1609761768963656022 -0.0053265 -0.0053265 0.0053265
1609761768968656022 -0.0053265 -0.0021306 0.0021306
1609761768973656022 -0.0031959 -0.0010653 0.0021306
1609761768978656022 -0.0053265 -0.0010653 0.0021306
1609761768983656022 -0.0021306 -0.0021306 0.0010653
1609761768988656022 -0.0042612 -0.0031959 0.0021306
1609761768993656022 -0.0074571 -0.0010653 0.0021306
1609761768998656022 -0.0042612 0.0010653 0.0031959
1609761769003656022 -0.0042612 -0.0021306 0.0031959
1609761769008656022 -0.0053265 -0.0031959 0.0042612
1609761769013656022 -0.0031959 -0.0031959 0.0042612
1609761769018656022 -0.0021306 0.0010653 0.0031959
1609761769023656022 -0.0031959 -0.0010653 0.0031959
1609761769028656022 -0.0031959 0 0.0021306
1609761769033656022 -0.0031959 0 0.0021306
1609761769038656022 -0.0042612 -0.0010653 0.0021306
1609761769043656022 -0.0031959 -0.0021306 0.0031959
1609761769048656022 -0.0042612 -0.0021306 0.0021306
1609761769053656022 -0.0063918 0 0.0010653
1609761769058656022 -0.00958769 -0.0021306 0.0010653
1609761769063656022 -0.0074571 -0.0031959 0.0021306
1609761769068656022 -0.0063918 -0.0021306 0.0021306
1609761769073656022 -0.0053265 -0.0021306 0.0010653
1609761769078656022 -0.0042612 -0.0021306 0.0010653
1609761769083656022 -0.0042612 -0.0021306 0.0021306
1609761769088656022 -0.0042612 -0.0021306 0.0053265
1609761769093656022 -0.0042612 -0.0021306 0.0042612
1609761769098656022 -0.0053265 -0.0031959 0.0031959
1609761769103656022 -0.0053265 -0.0010653 0.0021306
1609761769108656022 -0.0031959 -0.0010653 0.0021306
1609761769113656022 -0.0042612 -0.0021306 0.0021306
1609761769118656022 -0.0053265 -0.0042612 0.0021306
1609761769123656022 -0.0042612 -0.0042612 0.0021306
1609761769128656022 -0.0074571 -0.0031959 0
1609761769133656022 -0.0053265 -0.0021306 0.0010653
1609761769138656022 -0.0053265 -0.0021306 0
1609761769143656022 -0.0063918 -0.0042612 0.0031959
1609761769148656022 -0.0042612 -0.0010653 0.0021306
1609761769153656022 -0.0021306 0.0010653 0.0042612
1609761769158656022 -0.0042612 -0.0010653 0.0042612
1609761769163656022 -0.0031959 0 0.0021306
1609761769168656022 0 -0.0010653 0.0042612
1609761769173656022 -0.0010653 0 0.0031959
1609761769178656022 -0.0042612 -0.0010653 0
1609761769183656022 -0.0042612 -0.0010653 0.0021306
1609761769188656022 -0.0063918 -0.0053265 0.0010653
1609761769193656022 -0.0031959 -0.0042612 0.0021306
1609761769198656022 -0.0042612 -0.0010653 0.0021306
1609761769203656022 -0.0063918 -0.0021306 0.0042612
1609761769208656022 -0.0074571 -0.0021306 0.0021306
1609761769213656022 -0.0053265 -0.0042612 0.0010653
1609761769218656022 -0.0042612 -0.0021306 0.0031959
1609761769223656022 -0.0074571 -0.0021306 0.0021306
1609761769228656022 -0.0042612 -0.0021306 0.0010653
1609761769233656022 -0.0021306 -0.0010653 0.0031959
1609761769238656022 -0.0021306 -0.0010653 0.0021306
1609761769243656022 -0.0031959 0 0.0010653
1609761769248656022 -0.0042612 0 0.0010653
1609761769253656022 -0.0053265 -0.0031959 0.0053265
1609761769258656022 -0.0042612 -0.0031959 0.0042612
1609761769263656022 -0.0074571 -0.0010653 0.0021306
1609761769268656022 -0.0074571 -0.0021306 0.0031959
1609761769273656022 -0.0063918 -0.0010653 0.0021306
1609761769278656022 -0.0031959 0 0.0042612
1609761769283656022 -0.0010653 -0.0021306 0.0042612
1609761769288656022 -0.0031959 -0.0031959 0
1609761769293656022 -0.0021306 0.0010653 0.0010653
1609761769298656022 -0.0021306 0 0.0021306
1609761769303656022 -0.0042612 -0.0031959 0.0010653
1609761769308656022 -0.0053265 -0.0010653 0.0021306
1609761769313656022 -0.0063918 -0.0021306 0.0042612
1609761769318656022 -0.0053265 -0.0031959 0.0031959
1609761769323656022 -0.0053265 -0.0053265 0.0021306
1609761769328656022 -0.010653 -0.0031959 0.0010653
1609761769333656022 -0.0074571 -0.0031959 0.0031959
1609761769338656022 -0.0042612 -0.0010653 0.0021306
1609761769343656022 -0.0053265 -0.0031959 -0.0010653
1609761769348656022 -0.0021306 -0.0031959 0.0031959
1609761769353656022 -0.0031959 0.0010653 0.0021306
1609761769358656022 -0.0042612 -0.0010653 0.0031959
1609761769363656022 -0.0021306 -0.0010653 0.0031959
1609761769368656022 -0.0021306 0.0021306 0.0021306
1609761769373656022 -0.0053265 0.0021306 0.0021306
1609761769378656022 -0.0031959 -0.0010653 0.0031959
1609761769383656022 -0.0031959 -0.0021306 0.0010653
