# time cpu_temp x_bias y_bias z_bias
1617029669752513037 38.0869 0.0134938 -0.00234365 0.00294732
1617029670189395054 38.0772 0.0134583 -0.00248569 0.00195304
1617029670626561181 38.0713 0.0131742 -0.00234365 0.0025212
1617029671061097953 38.0869 0.0134583 -0.0021661 0.00205957
1617029671468977639 38.0518 0.0132097 -0.00234365 0.00170448
1617029671905630888 38.0264 0.0134227 -0.00245018 0.00230814
1617029672342537119 38.0654 0.0134938 -0.0028763 0.00213059
1617029672779435739 38.0537 0.0132452 -0.00205957 0.00205957
1617029673216457545 38.0791 0.0129611 -0.00273426 0.00223712
1617029673653491113 38.044 0.0130676 -0.0025212 0.00227263
